Noise,Horizon,Signed_Macro_F1
White,1,0.3247775496235455
White,2,0.32476875642343267
White,5,0.3247422680412371
White,10,0.32469775474956825
White,25,0.32474136419428373
Blue,1,0.3247775496235455
Blue,2,0.32476875642343267
Blue,5,0.3247422680412371
Blue,10,0.32469775474956825
Blue,25,0.32474136419428373
Pink,1,0.3247775496235455
Pink,2,0.32476875642343267
Pink,5,0.3247422680412371
Pink,10,0.32469775474956825
Pink,25,0.32474136419428373
Red,1,0.3247775496235455
Red,2,0.32476875642343267
Red,5,0.3247422680412371
Red,10,0.32469775474956825
Red,25,0.32474136419428373
Green,1,0.3247775496235455
Green,2,0.32476875642343267
Green,5,0.3247422680412371
Green,10,0.32469775474956825
Green,25,0.32474136419428373
Black,1,0.3247775496235455
Black,2,0.32476875642343267
Black,5,0.3247422680412371
Black,10,0.32469775474956825
Black,25,0.32474136419428373
